Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470pF,C_0603_1608Metric,34.790000,-28.840000,0.000000,top
C2,470pF,C_0603_1608Metric,34.860000,-25.690000,0.000000,top
C3,6.8nF,C_0603_1608Metric,41.445000,-33.290000,180.000000,top
C4,33nF,C_0805_2012Metric,42.490000,-37.900000,0.000000,top
C9,10nF,C_0402_1005Metric,29.694550,-34.590000,90.000000,top
C10,22nF,C_0805_2012Metric,25.540000,-38.204850,180.000000,top
C12,0.1uF,C_0402_1005Metric,21.620000,-24.720000,-90.000000,top
C20,0.1uF,C_0402_1005Metric,32.100000,-24.570000,180.000000,top
C21,0.1uF,C_0402_1005Metric,43.540000,-23.560000,180.000000,top
C22,0.1uF,C_0402_1005Metric,51.800000,-24.200000,-90.000000,top
C23,0.1uF,C_0402_1005Metric,24.510000,-36.560000,0.000000,top
C24,0.1uF,C_0402_1005Metric,34.250000,-35.820000,90.000000,top
C25,0.1uF,C_0402_1005Metric,45.300000,-35.130000,-90.000000,top
D1,ESD5Z2.5T1G,SOD-523_0P9X1P3_ONS,46.920100,-14.430000,0.000000,top
D2,ESD5Z2.5T1G,SOD-523_0P9X1P3_ONS,21.100000,-16.449900,90.000000,top
D3,ESD5Z2.5T1G,SOD-523_0P9X1P3_ONS,32.770000,-13.870100,-90.000000,top
E1,E,Electrode_Shape,53.469200,-16.067200,0.000000,top
E2,ER,Electrode_Shape,40.000400,-16.067200,0.000000,top
E3,E,Electrode_Shape,26.531600,-16.067200,0.000000,top
J1,Conn_01x04_Socket,PinSocket_2x02_P2.54mm_Vertical,14.498800,-17.255000,180.000000,top
J4,Conn_01x06_Socket,PinSocket_2x03_P2.54mm_Vertical,59.528000,-27.294600,-90.000000,top
J7,Conn_01x06_Pin,PinHeader_2x03_P2.54mm_Vertical,19.487400,-34.764800,-90.000000,top
L1,L_Ferrite,IND_BLM15_1P05X0P55X0P55_MUR,46.139900,-16.604350,-90.000000,top
L2,L_Ferrite,IND_BLM15_1P05X0P55X0P55_MUR,19.650000,-16.750000,-90.000000,top
R1,10k,R_0402_1005Metric,46.630000,-13.050000,180.000000,top
R2,10k,R_0402_1005Metric,21.610000,-18.450000,180.000000,top
R3,2.2k,R_0402_1005Metric,45.639900,-19.020000,180.000000,top
R4,2.2k,R_0402_1005Metric,19.650000,-14.290000,90.000000,top
R5,330R,R_0402_1005Metric,34.040000,-13.590000,90.000000,top
R6,10M,R_0402_1005Metric,32.620000,-28.610000,90.000000,top
R7,10M,R_0402_1005Metric,32.640000,-26.160000,90.000000,top
R8,10M,R_0402_1005Metric,37.050000,-28.600000,90.000000,top
R9,10M,R_0402_1005Metric,37.050000,-26.220000,90.000000,top
R10,150k,R_0402_1005Metric,42.040000,-36.140000,0.000000,top
R11,150k,R_0402_1005Metric,38.590000,-37.670000,180.000000,top
R12,150k,R_0402_1005Metric,36.930000,-38.060000,-90.000000,top
R13,100,R_0402_1005Metric,50.680000,-36.660000,0.000000,top
R14,100,R_0402_1005Metric,47.490000,-36.670000,180.000000,top
R15,12k,R_0402_1005Metric,45.500000,-24.200000,-90.000000,top
R16,12k,R_0402_1005Metric,40.650000,-23.500000,180.000000,top
R22,27k,R_0402_1005Metric,29.050000,-37.300000,180.000000,top
R23,27k,R_0402_1005Metric,28.544550,-33.860000,90.000000,top
R31,10k,R_0402_1005Metric,45.780000,-27.030000,0.000000,top
R32,10k,R_0402_1005Metric,48.060000,-27.030000,0.000000,top
R33,10k,R_0402_1005Metric,32.950000,-35.200000,90.000000,top
R34,10k,R_0402_1005Metric,31.610000,-33.070000,180.000000,top
U1,LPV821DBVR,SOT-23-5,25.170150,-34.250000,180.000000,top
U2,INA333xxDGK,VSSOP-8_3x3mm_P0.65mm,49.087500,-34.325000,180.000000,top
U3,LPV821DBVR,SOT-23-5,36.935000,-35.330000,180.000000,top
U5,LPV821DBVR,SOT-23-5,49.085000,-24.660000,0.000000,top
U6,LPV821DBVR,SOT-23-5,41.405000,-25.850000,0.000000,top
U7,TPD2E001DRLR,DRL5-L,21.100001,-27.025699,-90.000000,top
U8,TLV8542DR,SOIC127P599X175-8N,27.330000,-26.825000,0.000000,top