Id,Designator,Footprint,Quantity,Designation,Supplier and ref
2,"R23,R22",R_0402_1005Metric,2,27k,
4,"R14,R13",R_0402_1005Metric,2,100,
5,"C2,C1",C_0603_1608Metric,2,470pF,
6,"D3,D2,D1",SOD-523_0P9X1P3_ONS,3,ESD5Z2.5T1G,
7,"C12,C24,C21,C22,C23,C20,C25",C_0402_1005Metric,7,0.1uF,
8,"U3,U5,U6,U1",SOT95P280X145-5N,4,LPV821DBVR,
9,"R10,R11,R12",R_0402_1005Metric,3,150k,
10,U7,DRL5-L,1,TPD2E001DRLR,
11,"R34,R31,R32,R33,R1,R2",R_0402_1005Metric,6,10k,
12,"R9,R8,R6,R7",R_0402_1005Metric,4,10M,
14,"R3,R4",R_0402_1005Metric,2,2.2k,
15,"R16,R15",R_0402_1005Metric,2,12k,
16,C3,C_0603_1608Metric,1,6.8nF,
17,U2,VSSOP-8_3x3mm_P0.65mm,1,INA333xxDGK,
18,C10,C_0805_2012Metric,1,22nF,
20,U8,SOIC127P599X175-8N,1,TLV8542DR,
21,C9,C_0402_1005Metric,1,10nF,
22,C4,C_0805_2012Metric,1,33nF,
23,"L2,L1",IND_BLM15_1P05X0P55X0P55_MUR,2,L_Ferrite,
24,R5,R_0402_1005Metric,1,330R,